Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_pkr,city,experience_years
Assistant IT Support Officer,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Entry Level,6-Jan-25,1 Year,Bachelors,Male,,"IP Networking, MIT Knowledge, Network Security Administration, IT Support Responsibilities, Electrical Controls Knowledge, Configuration Switches, Wireless Networking, Shopify Theme Management",55000.0,Islamabad,1.0
Manager - Business Incubation Center,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"Township, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Entry Level,6-Jan-25,1 Year,Masters,No Preference,,"Communication Skills, Managerial Skills, Incubation Skills, Business Development Strategies",45000.0,Township,1.0
Category Manager - Confectionery / Beverages,"PKR. 60,000 - 90,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,6-Jan-25,2 Years (Retail Industry Category Management),Bachelors,No Preference,,"Communication Skills, Time Management, Problem Solving Skills, Management Skills, Negotiation Skills, Retail Category Management, Supply Chain Software, Leadership Skills, Supplier Sourcing Skills, Supplier Contract Management, Supply Chain Product Management, Data Analysis",75000.0,Lahore,2.0
Category Executive - Home Care & Personal Care,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,6-Jan-25,2 Years (Retail Industry Category Management),Bachelors,No Preference,,"Communication Skills, Inter-departmental Coordination, Time Management, Problem Solving, Managment Skills, Negotiation Skills, Retail Category Management, Supply Chain Software`, Data Analysis, Leadership Skills, Supplier Sourcing Skills, Supplier Contract Management, Supply Chain Product Management",,Lahore,2.0
Telesales Representative,"PKR. 30,000 - 50,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,4-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Communication Skills, Telemarketing Skills, Fluent in English",40000.0,Gulberg 3,1.0
Category Executive - Detergent / Toiletries,"PKR. 40,000 - 60,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,6-Jan-25,2 Years (Retail Industry Category Management),Bachelors,No Preference,,"Retail Category Management, Negotiation Skills, Management Skills, Problem Solving, Time Management, Coordination Skills, Communication Skills, Supply Chain Product Management, Supplier Contract Management, Supplier Sourcing Skills, Leadership Skills, Data Analysis, Supply Chain Software",50000.0,Lahore,2.0
Assistant Accounts / Finance Officer,"PKR. 100,000 - 125,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,6-Jan-25,1 Year,Masters,Male,,"Accounts Payments Handling, Accounts Software Command, Field Task Management, Accounts Finalization, Accounts Production",112500.0,Islamabad,1.0
Graphic Designer,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,6-Jan-25,1 Year,Bachelors,No Preference,,"Creative Design, Graphics Editing, Adobe Illustrator",65000.0,Jhelum,1.0
Junior Software Developer,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,6-Jan-25,Less than 1 Year,Bachelors,No Preference,,"Software Development Tools Command, jQuery, C, #ASP.net, Javascript, Custom Software Development, Software Analysis, Object Oriented Software, Software Development, Software Design",55000.0,Johar Town,1.0
HR Executive,"PKR. 60,000 - 125,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Experienced Professional,6-Jan-25,3 Years,Bachelors,No Preference,,"Team Building, Payroll Management, 360 Recruitment, Technical Recruitment Skills",92500.0,Jhelum,3.0
Junior SQA Engineer,,Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,6-Jan-25,,Bachelors,No Preference,,"MySQL, HTML, CSS3, Coordination Skills, jQuery, Javascript, Ajax, WP CLI, ASP.net, WHRPP",,Johar Town,
Floor Manager,"PKR. 70,000 - 80,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,6-Jan-25,2 Years,Bachelors,No Preference,,"Multitasking Skills, Procurement Knowledge, Coordination Skills",75000.0,Jhelum,2.0
Site Acquisition Executive,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Experienced Professional,6-Jan-25,2 Years,Bachelors,No Preference,,"Admin Operations Management, Purchase  Management, Real Estate Content Development, Site Administration",,Lahore,2.0
Data Entry Operator,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Data Entry,Experienced Professional,6-Jan-25,2 Years,Bachelors,Male,,"Typing Speed, Computer Proficiency, Communication Skills",37500.0,Jhelum,2.0
Customer Support Representative,"PKR. 80,000 - 100,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,3-Jan-25,,Intermediate/A-Level,Female,25 - 35 Years,"Customer Interaction Management, Customer Satisfaction Management, Listening to Customers, Persuasion Customer",90000.0,Johar Town,
Receptionist / Front Desk Officer,"PKR. 35,000 - 50,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Entry Level,6-Jan-25,1 Year,Bachelors,Male,,"Front Office Support, Front Officer Support, Appointment Scheduling",42500.0,Gulberg 3,1.0
Procurement Manager,"PKR. 30,000 - 35,000/Month",Full Time/Permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Procurement,Entry Level,6-Jan-25,,Intermediate/A-Level,Male,,"Vendor Relationship Management, Organizational Skills, Analytical Skills, Communication Skills, Material Expertise",32500.0,DHA,
Sales Representative,,Full Time/Permanent,"Mehmoodabad, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,6-Jan-25,Fresh,Matriculation/O-Level,No Preference,,"Sales Management, Sales Automation, Retail Sales",,Mehmoodabad,
Sales Executive,,Full Time/Permanent,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,6-Jan-25,2 Years,Intermediate/A-Level,No Preference,,"Coordination Skills, Sales Management, Retail Sales",,Gulshan-e-Iqbal,2.0
Cook,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Hotel/Restaurant Management,Experienced Professional,6-Jan-25,3 Years,Intermediate/A-Level,Male,,"Cooking Preparation, BBQ Cooking, All Fast Food Knowledge",55000.0,Islamabad,3.0
Accountant,"PKR. 100,000 - 125,000/Month",Full Time/Permanent,"Dubai,
                                                                                                                                                                                                                                                                                            United Arab Emirates","Accounts, Finance & Financial Services",Entry Level,6-Jan-25,Fresh,Bachelors,No Preference,,"Communication Skills, Accounts Management Skills, Field Task Management",112500.0,Dubai,
Senior Accountant,"PKR. 80,000 - 125,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,6-Jan-25,2 Years,Masters,No Preference,,"Accounts Software Command, Admin Operations Management, Audit Assignment Handling",102500.0,Islamabad,2.0
Sales Executive,"PKR. 20,000 - 25,000/Month",Full Time/Permanent,"Gulshan-e-Iqbal, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,6-Jan-25,Fresh,Intermediate/A-Level,Female,,"End to End Sales, Microsoft Access, Customer Acquisition Strategies",22500.0,Gulshan-e-Iqbal,
Assistant Pharmacist,"PKR. 30,000 - 35,000/Month",Contract,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Health & Medicine,Experienced Professional,23-Dec-24,5 Years,Matriculation/O-Level,No Preference,18 - 40 Years,"Pharmacy Practice, Pharmacy Administration, Pharmacy Knowledge, Close Attention to Detail",32500.0,Lahore,5.0
Visa Processing Officer,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,6-Jan-25,,,No Preference,,"Coordination Skills, Communication Skills, Documentation Handling",45000.0,Johar Town,
Customer Sales Representative,"PKR. 35,000 - 45,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,6-Jan-25,1 Year,Bachelors,No Preference,,"Customer Analysis, CRM Analysis, MS Excel",40000.0,Johar Town,1.0
Accounts Executive,"PKR. 40,000 - 60,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,4-Jan-25,,Bachelors,No Preference,,"Admin Operations Management, Bill Payment Handling, Accounts Payments Handling, Accounts Receivable, Accounts Software Command, Quick Books Accounts",50000.0,Lahore,
Accountant,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,6-Jan-25,3 Years,Bachelors,No Preference,,"Accounts Software Command, Reconciliation, Financial Statement Analysis",65000.0,Islamabad,3.0
Accounts Executive,"PKR. 80,000 - 125,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,6-Jan-25,,Masters,Male,,"Negotiations Skills, Communications Skills, Accounts Management Skllis",102500.0,Lahore,
Program Officer - Alumni Relations,"PKR. 35,000 - 45,000/Month",Full Time/Permanent,"Township, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Administration,Entry Level,6-Jan-25,1 Year,Bachelors,No Preference,,"Campaign Management, Communication Skills, Social Media Optimization, Project Management Plan, Email Writing Skills, Alumni Affairs, Alumni Relations Management",40000.0,Township,1.0
Subject Teacher,"PKR. 40,000 - 70,000/Month",Full Time/Permanent,"KDA Scheme No.1, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,6-Jan-25,3 Years,Bachelors,Female,,"Educational Strategies, Science Education, Presentation Skills",55000.0,KDA Scheme No.1,3.0
Admission Officer / Admission Counselor,"PKR. 40,000 - 100,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,6-Jan-25,,Bachelors,No Preference,,"Communication Skills, Student Counseling, Admissions Counseling, Sales Management",70000.0,Lahore,
Customer Support Executive,"PKR. 45,000 - 60,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,6-Jan-25,2 Years,Bachelors,No Preference,,"Manage Client Relationships, كلينت فلوب, Customer Success, Listening to Customers, Customer Satisfaction Management, Customer Analysis",52500.0,Karachi,2.0
Accounts Officer,"PKR. 60,000 - 125,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,6-Jan-25,2 Years,Bachelors,No Preference,,"General Accounts Management, Corporate Accounting, Financial Accounting, Accounts  Administration",92500.0,Jhelum,2.0
Warehouse Executive,"PKR. 35,000 - 125,000/Month",Full Time/Permanent,"Jhelum,
                                                                                                                                                                                                                                                                                            Pakistan",Warehousing,Experienced Professional,6-Jan-25,3 Years,Bachelors,No Preference,,"Stock Management, Inventory Planning Skills, Store Knowledge, Record Keeping Skills",80000.0,Jhelum,3.0
Admission Officer / Study Counselor,"PKR. 25,000 - 100,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,6-Jan-25,,Intermediate/A-Level,No Preference,,"Communication Skills, Sales Operations, Sales Growth, Sales Management",62500.0,Lahore,
Assistant Manager - Laboratory,"PKR. 70,000 - 80,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Experienced Professional,24-Jan-25,,Bachelors,Female,28 - 35 Years,"Analytical Skills, Shopify Theme Management, Communication Skills",75000.0,Lahore,
Node.Js Developer,"PKR. 60,000 - 175,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,1-Jan-25,1 Year,Bachelors,No Preference,,"Javascript, MongoDB, NodeJs, React Native",117500.0,Gulberg 3,1.0
Development Manager - C++,"PKR. 300,000 - 350,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,6-Jan-25,,Bachelors,No Preference,,"Databases Management, C++ Knowledge, MS Visual Studio",,Karachi,
Assistant Manager Procurement,"PKR. 90,000 - 100,000/Month",Full Time/Permanent,"Kahna Nau, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Procurement,Experienced Professional,6-Jan-25,4 Years,Masters,No Preference,22 - 34 Years,"Team Management Skills, Rate Analysis, Vendor Management Skillls",95000.0,Kahna Nau,4.0
Security Executive,"PKR. 45,000 - 50,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Security,Experienced Professional,6-Jan-25,,Diploma,No Preference,,"Security Plan Preparation, Security Measures Implementation, Security Awareness, Security Protocols, Security Compliance",47500.0,Islamabad,
Supply Executive,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Supply Chain Management,Experienced Professional,6-Jan-25,,Bachelors,No Preference,20 - 35 Years,"Employee Retention, Vendor Management Skillls, Supply Chain Optimization",65000.0,Johar Town,
Deputy Manager Import / Procurement,"PKR. 125,000 - 150,000/Month",Full Time/Permanent,"New Garden Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Import & Export,Experienced Professional,6-Jan-25,5 Years,Masters,Male,,"Supplier Quality Management, Supplier Negotiation, Supplier Development, Supply Management Skills, Inventory Planning Skills, Procurement Knowledge, Communication Skills, Knowledge of Spreadsheets, Import Operations Handling",137500.0,New Garden Town,5.0
Energy Manager,,Full Time/Permanent,"Muridkay,
                                                                                                                                                                                                                                                                                            Pakistan",Manufacturing,Experienced Professional,6-Jan-25,,Bachelors,Male,30 - 44 Years,"Efficiency Optimization, Compliance Knowledge, Modulation Techniques, LEED Certification Knowledge",,Muridkay,
Dental Assistant,"PKR. 30,000 - 35,000/Month",Contract,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Health & Medicine,Entry Level,11-Dec-24,1 Year,Matriculation/O-Level,No Preference,18 - 40 Years,"Dental Products Knowledge, Dental Material Handling, Dental Equipment Management, Dental Care, Close Attention to Detail",32500.0,Rawalpindi,1.0
Assistant Accountant,"PKR. 50,000 - 50,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Entry Level,6-Jan-25,,Bachelors,No Preference,21 - 26 Years,"Accounting, Admin Operations Management, Bookkeeping Knowledge, Accounts Software Command, Reconciliation, Accounts Management Skills",50000.0,Gulberg 3,
Educational Counselor,"PKR. 40,000 - 60,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,6-Jan-25,3 Years,Bachelors,No Preference,,"Career Counseling, Student Counseling, Applications Processing, Educational Consultancy",50000.0,Lahore,3.0
Business Development Manager,"PKR. 50,000 - 80,000/Month",Full Time/Permanent,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,6-Jan-25,3 Years,Bachelors,No Preference,,"Business Development Process, Business Development Strategies, B2B Business Development",65000.0,Johar Town,3.0
Receptionist,"PKR. 175,000 - 200,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Peshawar,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                                                                                                                        Gilgit,
                                                                                                                                                                                                                                                                                                                                                                                        Kashmir,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Experienced Professional,6-Jan-25,5 Years,Bachelors,No Preference,30 - 57 Years,"Business Understanding, Communication Skills, Front Office Support",,Islamabad,5.0
Payment Collection Specialist,"PKR. 50,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,6-Jan-25,2 Years,Bachelors,No Preference,,"Cash Collection, Credit Collection Recovery, Knowledge of Spreadsheets, MS Excel, Communication Skills",60000.0,Islamabad,2.0
Community Communication Officer,,Contract,"Attock,
                                                                                                                                                                                                                                                                                                                                                                                        Bahawalnagar,
                                                                                                                                                                                                                                                                                            Pakistan",Public Relations,Experienced Professional,1-Jan-25,3 Years,Masters,No Preference,,"Cultural Awareness, Analytical Skills, Laboratory Operations Management, Social Collaboration, Negotiations Skills, Communication Skills, Relationship Management",,Attock,3.0
Team Lead Java,,Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,6-Jan-25,,Bachelors,No Preference,,"Reactjs, Springboot, Java, AngularJS",,Karachi,
Web Developer - Intern,"PKR. 8,000 - 12,000/Month",Internship,"Rahimyar Khan,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Intern/Student,6-Jan-25,,Intermediate/A-Level,Male,18 - 35 Years,"HTML, C++ Knowledge, Javascript",10000.0,Rahimyar Khan,
Oversea Operations Executive,"PKR. 30,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Maritime & Shipping,Entry Level,3-Jan-25,1 Year,Bachelors,No Preference,,"International Business Knowledge, Regulatory Compliance, Project Management",50000.0,Islamabad,1.0
Online Computer Science Instructor - Youtube,"PKR. 80,000 - 100,000/Month",Part Time,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,6-Jan-25,,Bachelors,No Preference,,"Google Docs Knowledge, Communication Skills, Technical Knowledge",90000.0,Islamabad,
Google My Business Specialist,,Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,5-Jan-25,5 Years,Bachelors,No Preference,18 - 27 Years,"Optimizing GMB Listing, Google Maps Knowledge, Google Analytics",,Lahore,5.0
Junior Sales / Support Representative,"PKR. 35,000 - 45,000/Month",Full Time/Permanent,"Banglore Town, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,5-Jan-25,Less than 1 Year,Bachelors,Female,,"Communication Skills, Sales Automation, Client Acquisition Skills, Sales Management",40000.0,Banglore Town,1.0
Education Consultancy Intern,,Internship,"Gilgit,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Intern/Student,1-Jan-25,,Bachelors,No Preference,23 - 29 Years,"Team Building, Technical Project Leadership, Admin Task Management, Communication Skills",,Gilgit,
